hospitalId, hospitalLocation, capacity, assignmentCount, filledPercentage, preferences, assignments, assignmentRanks
H0, 24, 1, 1, 1.0, R455 R48 R174 R378 R274 R472 R63 R40 R485 R123 R184 R230 R171 R425 R348, R274, 4
H1, 32, 2, 2, 1.0, R241 R165 R306 R461 R98 R126 R213 R374 R88 R327 R297 R349 R392 R304 R156, R213 R461, 6 3
H2, 26, 2, 1, 0.5, R248 R14 R40 R448 R268 R168 R258 R262 R184 R269 R88 R118 R45 R402 R365, R148, -1
H3, 17, 4, 0, 0.0, R202 R248 R201 R140 R317 R402 R447 R456 R213 R406 R21 R444 R379 R4 R217, , 
H4, 7, 5, 3, 0.6, R264 R445 R129 R352 R191 R389 R83 R215 R250 R18 R468 R157 R6 R108 R438, R65 R100 R108, -1 -1 13
H5, 45, 5, 1, 0.2, R400 R494 R108 R117 R264 R69 R422 R280 R11 R169 R170 R358 R374 R100 R472, R132, -1
H6, 33, 2, 1, 0.5, R395 R428 R350 R120 R244 R326 R152 R457 R399 R83 R146 R295 R490 R183 R285, R395, 0
H7, 16, 4, 3, 0.75, R225 R152 R217 R340 R131 R226 R263 R136 R74 R327 R134 R175 R239 R297 R493, R327 R493 R136, 9 14 7
H8, 17, 4, 4, 1.0, R433 R63 R443 R19 R313 R219 R213 R250 R227 R325 R486 R444 R458 R495 R142, R142 R486 R458 R313, 14 10 12 4
H9, 2, 3, 3, 1.0, R127 R7 R499 R341 R334 R429 R6 R111 R371 R198 R91 R363 R333 R404 R296, R363 R404 R28, 11 13 -1
H10, 13, 3, 2, 0.6666667, R362 R57 R66 R228 R146 R267 R45 R271 R452 R352 R171 R245 R495 R439 R6, R362 R171, 0 10
H11, 5, 2, 2, 1.0, R220 R212 R177 R354 R453 R248 R205 R164 R488 R457 R351 R402 R439 R99 R331, R177 R220, 2 0
H12, 40, 1, 1, 1.0, R364 R452 R121 R27 R381 R179 R137 R400 R459 R43 R228 R358 R333 R210 R363, R459, 8
H13, 18, 2, 2, 1.0, R264 R95 R320 R82 R374 R12 R195 R134 R419 R24 R492 R105 R477 R161 R454, R12 R95, 5 1
H14, 46, 4, 4, 1.0, R495 R332 R189 R463 R249 R265 R147 R245 R100 R263 R334 R203 R244 R373 R473, R463 R94 R245 R189, 3 -1 7 2
H15, 27, 5, 3, 0.6, R489 R90 R229 R319 R87 R337 R223 R411 R228 R146 R98 R335 R151 R230 R429, R98 R228 R280, 10 8 -1
H16, 14, 2, 2, 1.0, R235 R316 R182 R279 R444 R345 R38 R451 R100 R319 R86 R125 R450 R351 R285, R351 R235, 13 0
H17, 36, 2, 2, 1.0, R71 R470 R200 R147 R15 R207 R391 R426 R450 R413 R122 R374 R254 R55 R349, R391 R207, 6 5
H18, 39, 3, 2, 0.6666667, R430 R478 R308 R316 R160 R177 R103 R16 R461 R143 R34 R201 R416 R453 R299, R160 R143, 4 9
H19, 24, 3, 3, 1.0, R422 R65 R66 R80 R354 R26 R148 R127 R248 R359 R126 R338 R494 R492 R474, R26 R248 R126, 5 8 10
H20, 2, 1, 1, 1.0, R349 R281 R73 R128 R211 R267 R290 R236 R52 R220 R11 R84 R37 R440 R115, R11, 10
H21, 25, 5, 1, 0.2, R104 R158 R486 R84 R145 R267 R380 R379 R479 R450 R75 R249 R53 R432 R496, R249, 11
H22, 47, 2, 2, 1.0, R138 R372 R93 R371 R389 R185 R30 R0 R302 R417 R194 R412 R422 R71 R60, R194 R185, 10 5
H23, 18, 3, 2, 0.6666667, R171 R144 R417 R155 R308 R285 R95 R108 R1 R79 R439 R354 R316 R408 R215, R423 R408, -1 13
H24, 31, 5, 2, 0.4, R72 R318 R395 R113 R119 R405 R112 R21 R384 R305 R419 R229 R193 R179 R352, R405 R152, 5 -1
H25, 11, 2, 1, 0.5, R285 R102 R188 R417 R498 R77 R358 R141 R286 R191 R431 R252 R390 R491 R210, R286, 8
H26, 1, 4, 3, 0.75, R1 R474 R92 R150 R142 R258 R449 R195 R174 R453 R490 R99 R328 R162 R10, R490 R200 R92, 10 -1 2
H27, 19, 3, 3, 1.0, R279 R199 R481 R186 R233 R95 R12 R309 R133 R81 R472 R5 R280 R316 R193, R68 R309 R406, -1 7 -1
H28, 3, 5, 3, 0.6, R454 R332 R204 R472 R450 R205 R193 R338 R412 R82 R42 R434 R178 R399 R340, R82 R450 R204, 9 4 2
H29, 21, 1, 1, 1.0, R390 R1 R286 R241 R35 R233 R362 R149 R410 R405 R116 R214 R57 R373 R391, R390, 0
H30, 10, 2, 2, 1.0, R482 R445 R480 R265 R20 R488 R410 R274 R152 R459 R134 R388 R325 R466 R9, R466 R482, 13 0
H31, 17, 1, 1, 1.0, R185 R398 R312 R12 R366 R40 R414 R452 R428 R426 R479 R369 R112 R393 R411, R434, -1
H32, 0, 2, 1, 0.5, R8 R326 R55 R348 R268 R291 R399 R280 R392 R253 R294 R327 R296 R318 R71, R268, 4
H33, 33, 5, 4, 0.8, R135 R432 R60 R219 R443 R34 R499 R383 R74 R196 R252 R294 R454 R270 R393, R141 R443 R37 R270, -1 4 -1 13
H34, 32, 4, 4, 1.0, R47 R452 R279 R142 R477 R36 R128 R9 R184 R211 R460 R13 R480 R281 R497, R13 R279 R47 R477, 11 2 0 4
H35, 16, 4, 3, 0.75, R126 R217 R61 R251 R250 R151 R160 R88 R43 R24 R458 R12 R407 R313 R196, R195 R43 R333, -1 8 -1
H36, 34, 5, 1, 0.2, R113 R24 R449 R316 R154 R118 R463 R342 R324 R222 R26 R249 R374 R391 R284, R24, 1
H37, 29, 2, 2, 1.0, R449 R325 R334 R478 R90 R471 R156 R342 R224 R486 R434 R208 R172 R200 R484, R484 R478, 14 3
H38, 46, 4, 1, 0.25, R195 R107 R173 R375 R129 R419 R227 R198 R89 R144 R470 R91 R151 R377 R85, R480, -1
H39, 32, 2, 1, 0.5, R163 R499 R348 R449 R493 R435 R68 R48 R415 R459 R200 R214 R215 R286 R47, R3, -1
H40, 37, 2, 2, 1.0, R382 R68 R119 R15 R2 R360 R289 R396 R495 R95 R270 R50 R424 R57 R269, R396 R50, 7 11
H41, 27, 2, 0, 0.0, R285 R275 R479 R182 R431 R167 R239 R155 R172 R61 R495 R25 R484 R227 R119, , 
H42, 10, 3, 0, 0.0, R460 R441 R79 R34 R215 R459 R428 R47 R78 R303 R15 R20 R278 R483 R183, , 
H43, 11, 1, 1, 1.0, R489 R64 R410 R194 R99 R281 R136 R210 R180 R149 R157 R229 R423 R114 R394, R489, 0
H44, 3, 4, 3, 0.75, R68 R243 R65 R168 R473 R439 R130 R266 R366 R417 R263 R93 R244 R374 R5, R263 R93 R137, 10 11 -1
H45, 9, 2, 1, 0.5, R235 R338 R496 R331 R4 R463 R376 R26 R415 R381 R180 R176 R177 R220 R229, R75, -1
H46, 37, 1, 0, 0.0, R64 R287 R493 R312 R169 R343 R319 R100 R304 R194 R176 R108 R425 R465 R212, , 
H47, 32, 4, 3, 0.75, R58 R298 R135 R209 R160 R275 R420 R499 R168 R341 R162 R428 R447 R141 R51, R105 R168 R64, -1 8 -1
H48, 2, 5, 2, 0.4, R69 R186 R230 R89 R267 R487 R108 R222 R109 R474 R178 R431 R427 R310 R29, R178 R89, 10 3
H49, 10, 3, 3, 1.0, R296 R310 R140 R48 R437 R34 R430 R431 R380 R175 R201 R385 R21 R56 R300, R465 R216 R314, -1 -1 -1
H50, 26, 5, 3, 0.6, R319 R114 R151 R437 R131 R434 R37 R221 R426 R10 R415 R293 R154 R279 R203, R441 R437 R456, -1 3 -1
H51, 17, 1, 0, 0.0, R189 R126 R50 R192 R116 R282 R329 R221 R270 R174 R163 R303 R448 R172 R51, , 
H52, 28, 3, 3, 1.0, R471 R463 R305 R290 R252 R484 R143 R186 R25 R28 R314 R142 R464 R333 R206, R431 R252 R290, -1 4 3
H53, 0, 2, 1, 0.5, R105 R175 R150 R320 R226 R44 R190 R43 R211 R427 R436 R74 R195 R317 R335, R44, 5
H54, 47, 5, 1, 0.2, R440 R267 R495 R213 R209 R28 R474 R270 R262 R329 R122 R172 R134 R433 R326, R340, -1
H55, 5, 3, 1, 0.33333334, R357 R295 R387 R132 R385 R432 R222 R82 R360 R377 R375 R257 R84 R159 R497, R253, -1
H56, 24, 2, 1, 0.5, R476 R421 R262 R148 R121 R146 R298 R316 R85 R173 R319 R473 R336 R424 R449, R173, 9
H57, 12, 2, 1, 0.5, R337 R346 R260 R137 R481 R154 R418 R380 R170 R271 R180 R352 R457 R361 R117, R481, 4
H58, 19, 1, 1, 1.0, R155 R314 R32 R347 R367 R466 R465 R292 R259 R66 R236 R157 R165 R355 R200, R32, 2
H59, 27, 3, 0, 0.0, R325 R61 R41 R316 R4 R373 R69 R239 R385 R43 R393 R315 R366 R496 R118, , 
H60, 4, 3, 0, 0.0, R225 R40 R464 R133 R408 R382 R418 R288 R433 R153 R270 R157 R52 R346 R39, , 
H61, 4, 5, 3, 0.6, R161 R426 R491 R51 R233 R411 R231 R127 R363 R126 R306 R338 R352 R149 R448, R448 R149 R411, 14 13 5
H62, 33, 1, 1, 1.0, R192 R451 R326 R100 R109 R25 R293 R287 R33 R97 R132 R335 R239 R224 R26, R25, 5
H63, 39, 3, 3, 1.0, R70 R487 R282 R484 R99 R50 R497 R180 R354 R438 R89 R250 R113 R381 R94, R99 R70 R180, 4 0 7
H64, 11, 1, 1, 1.0, R74 R469 R443 R499 R153 R265 R256 R324 R292 R240 R41 R82 R222 R196 R315, R41, 10
H65, 14, 3, 0, 0.0, R414 R301 R481 R493 R300 R139 R242 R388 R77 R58 R258 R71 R420 R402 R45, , 
H66, 6, 4, 3, 0.75, R20 R69 R11 R474 R293 R177 R113 R357 R64 R208 R421 R60 R423 R105 R367, R310 R208 R435, -1 9 -1
H67, 43, 2, 2, 1.0, R139 R348 R498 R231 R478 R197 R288 R436 R96 R236 R51 R492 R358 R186 R56, R358 R96, 12 8
H68, 46, 5, 3, 0.6, R119 R218 R276 R7 R209 R298 R325 R98 R285 R205 R167 R35 R273 R2 R268, R285 R119 R298, 8 0 5
H69, 32, 2, 2, 1.0, R336 R441 R404 R472 R26 R342 R188 R18 R257 R321 R271 R261 R23 R440 R63, R424 R74, -1 -1
H70, 45, 3, 2, 0.6666667, R246 R171 R431 R401 R62 R422 R467 R252 R48 R308 R118 R61 R366 R425 R117, R183 R366, -1 12
H71, 33, 4, 4, 1.0, R352 R412 R2 R237 R318 R255 R388 R492 R464 R485 R331 R371 R9 R380 R289, R464 R485 R492 R255, 8 9 7 5
H72, 32, 2, 1, 0.5, R322 R398 R225 R256 R282 R19 R27 R318 R369 R356 R336 R464 R166 R342 R180, R225, 2
H73, 21, 5, 1, 0.2, R135 R362 R44 R338 R259 R495 R312 R79 R55 R452 R443 R315 R345 R93 R32, R79, 7
H74, 38, 3, 1, 0.33333334, R253 R221 R198 R228 R410 R227 R436 R239 R399 R183 R150 R234 R306 R5 R118, R198, 2
H75, 46, 5, 3, 0.6, R281 R305 R179 R343 R159 R109 R94 R324 R2 R172 R238 R265 R32 R110 R477, R159 R109 R189, 4 5 -1
H76, 25, 2, 0, 0.0, R268 R173 R300 R102 R226 R0 R293 R403 R182 R26 R491 R393 R123 R36 R270, , 
H77, 44, 4, 1, 0.25, R169 R349 R243 R237 R277 R393 R419 R137 R255 R346 R236 R267 R322 R296 R384, R277, 4
H78, 24, 1, 1, 1.0, R413 R41 R444 R112 R50 R464 R396 R463 R196 R341 R338 R454 R426 R111 R346, R112, 3
H79, 11, 3, 2, 0.6666667, R386 R132 R76 R208 R318 R397 R177 R361 R66 R85 R277 R468 R161 R36 R297, R354 R361, -1 7
H80, 16, 2, 1, 0.5, R339 R11 R359 R166 R186 R51 R81 R67 R235 R324 R20 R80 R46 R494 R429, R186, 4
H81, 12, 4, 2, 0.5, R68 R304 R57 R444 R402 R19 R198 R270 R217 R307 R332 R67 R215 R32 R37, R402 R376, 4 -1
H82, 33, 3, 3, 1.0, R5 R464 R176 R13 R139 R196 R53 R289 R446 R111 R286 R268 R336 R366 R374, R446 R289 R53, 8 7 6
H83, 16, 5, 2, 0.4, R287 R81 R126 R455 R326 R14 R72 R466 R483 R482 R496 R472 R464 R264 R239, R81 R359, 1 -1
H84, 19, 3, 2, 0.6666667, R242 R478 R386 R357 R491 R229 R117 R375 R444 R175 R147 R488 R271 R362 R152, R271 R488, 12 11
H85, 41, 5, 2, 0.4, R6 R283 R226 R78 R49 R31 R272 R293 R321 R162 R240 R486 R480 R128 R488, R162 R258, 9 -1
H86, 31, 2, 2, 1.0, R120 R485 R389 R378 R1 R427 R192 R393 R413 R288 R483 R126 R371 R144 R397, R378 R371, 3 12
H87, 8, 2, 2, 1.0, R18 R220 R177 R441 R29 R54 R251 R83 R21 R228 R105 R408 R194 R489 R450, R83 R415, 7 -1
H88, 7, 3, 2, 0.6666667, R311 R465 R125 R189 R242 R262 R403 R289 R175 R340 R209 R24 R398 R425 R159, R262 R121, 5 -1
H89, 10, 1, 1, 1.0, R36 R80 R190 R488 R371 R391 R362 R331 R361 R249 R410 R179 R51 R46 R440, R46, 13
H90, 0, 5, 4, 0.8, R321 R73 R235 R199 R309 R160 R439 R220 R451 R44 R486 R86 R90 R197 R142, R472 R86 R425 R451, -1 11 -1 8
H91, 3, 2, 2, 1.0, R279 R174 R49 R247 R450 R435 R479 R53 R491 R170 R55 R269 R311 R216 R369, R311 R247, 12 3
H92, 15, 4, 3, 0.75, R77 R313 R85 R283 R161 R239 R310 R233 R369 R0 R182 R240 R343 R458 R426, R72 R483 R22, -1 -1 -1
H93, 47, 4, 3, 0.75, R40 R49 R263 R382 R468 R376 R283 R231 R416 R0 R32 R442 R38 R218 R380, R468 R38 R283, 4 12 6
H94, 3, 5, 3, 0.6, R281 R424 R199 R310 R291 R330 R367 R7 R19 R266 R256 R239 R442 R132 R75, R7 R19 R438, 7 8 -1
H95, 30, 2, 0, 0.0, R105 R23 R122 R405 R459 R351 R101 R148 R168 R170 R257 R144, , 
H96, 2, 3, 2, 0.6666667, R104 R404 R377 R367 R55 R484 R4 R219 R73 R135 R253 R463 R452 R305 R231, R167 R305, -1 13
H97, 24, 4, 2, 0.5, R394 R283 R272 R477 R353 R270 R51 R241 R27 R118 R385 R310 R38 R293 R165, R276 R165, -1 14
H98, 10, 5, 4, 0.8, R27 R114 R224 R62 R328 R15 R423 R153 R296 R317 R107 R197 R117 R148 R310, R191 R210 R380 R107, -1 -1 -1 10
H99, 43, 5, 1, 0.2, R211 R347 R455 R95 R105 R55 R94 R432 R128 R316 R318 R249 R425 R59 R47, R432, 7
H100, 13, 4, 1, 0.25, R462 R93 R214 R131 R470 R39 R181 R311 R345 R105 R236 R118 R441 R13 R279, R347, -1
H101, 38, 2, 0, 0.0, R10 R180 R476 R271 R229 R80 R488 R8 R468 R243 R483 R215 R415 R245 R77, , 
H102, 3, 1, 1, 1.0, R63 R393 R65 R52 R78 R93 R263 R146 R120 R432 R275 R434 R411 R236 R362, R236, 13
H103, 9, 2, 2, 1.0, R372 R211 R469 R292 R129 R156 R435 R355 R28 R271 R328 R158 R450 R124 R283, R455 R211, -1 1
H104, 39, 1, 1, 1.0, R383 R456 R110 R154 R469 R287 R408 R42 R181 R384 R261 R152 R171 R48 R45, R110, 2
H105, 18, 3, 3, 1.0, R286 R415 R332 R73 R312 R357 R7 R57 R147 R188 R186 R103 R354 R74 R470, R312 R147 R357, 4 8 5
H106, 34, 1, 1, 1.0, R175 R182 R212 R57 R389 R102 R254 R104 R192 R125 R243 R307 R465 R214 R281, R389, 4
H107, 46, 2, 2, 1.0, R121 R135 R50 R102 R172 R251 R227 R306 R277 R427 R132 R454 R348 R455 R60, R454 R196, 11 -1
H108, 48, 2, 1, 0.5, R471 R331 R64 R92 R13 R382 R383 R120 R101 R171 R159 R1 R286 R456 R43, R256, -1
H109, 46, 5, 5, 1.0, R329 R32 R164 R309 R499 R58 R78 R91 R83 R405 R268 R80 R371 R325 R263, R76 R323 R91 R325 R153, -1 -1 7 13 -1
H110, 2, 5, 3, 0.6, R184 R18 R303 R412 R293 R287 R397 R448 R59 R121 R201 R17 R262 R21 R390, R203 R303 R151, -1 2 -1
H111, 0, 4, 1, 0.25, R262 R157 R26 R14 R121 R228 R460 R295 R203 R4 R20 R233 R346 R83 R293, R209, -1
H112, 9, 1, 0, 0.0, R6 R128 R301 R224 R420 R395 R328 R347 R253 R13 R404 R231 R113 R495 R12, , 
H113, 7, 3, 3, 1.0, R295 R354 R191 R211 R379 R399 R349 R499 R30 R331 R455 R226 R276 R312 R297, R295 R349 R122, 0 6 -1
H114, 12, 1, 1, 1.0, R127 R220 R90 R469 R344 R378 R224 R23 R423 R145 R57 R386 R454 R257 R155, R57, 10
H115, 13, 2, 1, 0.5, R123 R367 R247 R274 R209 R71 R73 R240 R210 R317 R96 R202 R126 R47 R306, R367, 1
H116, 18, 5, 5, 1.0, R250 R490 R185 R303 R365 R27 R324 R40 R419 R342 R296 R143 R173 R242 R142, R184 R419 R237 R27 R40, -1 8 -1 5 7
H117, 21, 2, 1, 0.5, R222 R272 R323 R188 R29 R61 R247 R262 R223 R347 R478 R67 R249 R210 R227, R355, -1
H118, 7, 5, 1, 0.2, R420 R470 R75 R490 R218 R154 R21 R201 R391 R92 R41 R456 R357 R171 R276, R447, -1
H119, 38, 1, 1, 1.0, R303 R288 R390 R430 R218 R320 R431 R473 R185 R154 R333 R252 R125 R337 R136, R218, 4
H120, 33, 3, 0, 0.0, R428 R400 R70 R240 R18 R299 R381 R25 R131 R174 R61 R95 R391 R249 R435, , 
