residentId, residentAssignment, residentAssignmentLocation, residentAssignmentRank, residentInitialPreferences, residentFinalPreferences, hasPartner, isAnchorPartner, partnerId, partnerAssignment, partnerAssignmentLocation, partnerAssignmentRank, partnerInitialPreferences, partnerFinalPreferences
R0, H48, 39, 0, H48 H7 H36 H28 H24 H6 H19 H27 H12 H2 H10 H17 H37 H1 H5, H48 H7 H36 H28 H24 H6 H19 H27 H12 H2 H10 H17 H37 H1 H5, false, NA, NA, NA, NA, NA, NA, NA
R1, H42, 27, 0, H42 H23 H34 H47 H4 H2 H1 H0 H45 H6 H7 H29 H13 H28 H11, H42 H23 H34 H47 H4 H2 H1 H0 H45 H6 H7 H29 H13 H28 H11, false, NA, NA, NA, NA, NA, NA, NA
R2, H2, 49, 7, H11 H5 H16 H14 H32 H44 H28 H2 H25 H1 H24 H37 H47 H4 H30, H11 H5 H16 H14 H32 H44 H28 H2 H25 H1 H24 H37 H47 H4 H30, false, NA, NA, NA, NA, NA, NA, NA
R3, H11, 5, 9, H31 H16 H40 H20 H33 H41 H32 H6 H18 H11 H39 H23 H42 H49 H7, H31 H16 H40 H20 H33 H41 H32 H6 H18 H11 H39 H23 H42 H49 H7, false, NA, NA, NA, NA, NA, NA, NA
R4, H31, 16, 10, H20 H27 H19 H38 H29 H17 H47 H39 H41 H45 H31 H24 H23 H33 H26, H20 H27 H19 H38 H29 H17 H47 H39 H41 H45 H31 H24 H23 H33 H26, false, NA, NA, NA, NA, NA, NA, NA
R5, H6, 5, 1, H13 H6 H49 H31 H22 H35 H19 H3 H1 H2 H5 H17 H26 H18 H46, H13 H6 H49 H31 H22 H35 H19 H3 H1 H2 H5 H17 H26 H18 H46, false, NA, NA, NA, NA, NA, NA, NA
R6, H26, 21, 11, H20 H0 H44 H43 H35 H5 H4 H19 H42 H31 H36 H26 H2 H8 H34, H20 H0 H44 H43 H35 H5 H4 H19 H42 H31 H36 H26 H2 H8 H34, false, NA, NA, NA, NA, NA, NA, NA
R7, H38, 41, 0, H38 H23 H45 H42 H20 H16 H37 H10 H5 H32 H44 H43 H18 H4 H26, H38 H23 H45 H42 H20 H16 H37 H10 H5 H32 H44 H43 H18 H4 H26, false, NA, NA, NA, NA, NA, NA, NA
R8, H38, 41, 6, H22 H4 H24 H42 H31 H23 H38 H44 H46 H0 H13 H5 H19 H40 H7, H22 H4 H24 H42 H31 H23 H38 H44 H46 H0 H13 H5 H19 H40 H7, false, NA, NA, NA, NA, NA, NA, NA
R9, NO_MATCH, -1, 2147483647, H23 H20 H9 H28 H21 H31 H42 H39 H10 H1 H43 H29 H33 H37, , true, false, R98, NO_MATCH, -1, 2147483647, H9 H10 H21 H29 H37 H43 H42 H44 H30 H11 H19 H15 H13 H22 H6, 
R10, NO_MATCH, -1, 2147483647, H31 H8 H21 H29 H40 H3 H5 H48 H26 H39 H6 H28 H33 H11, , true, false, R63, NO_MATCH, -1, 2147483647, H26 H48 H11 H8 H40 H33 H3 H28 H34 H0 H6 H46 H7 H17 H19, H19
R11, H48, 39, 0, H48 H32 H21 H0 H31 H18 H20 H3 H38 H30 H42 H2 H9 H36 H39, H48 H32 H21 H0 H31 H18 H20 H3 H38 H30 H42 H2 H9 H36 H39, false, NA, NA, NA, NA, NA, NA, NA
