residentId, residentAssignment, partnerId, partnerAssignment, residentAssignmentLocation, residentAssignmentRank, residentInitialPreferences, residentFinalPreferences, hasPartner, isAnchorPartner, partnerAssignmentLocation, partnerAssignmentRank, partnerInitialPreferences, partnerFinalPreferences
R0, H297, NA, NA, 46, 2, H214 H149 H297 H22 H92 H267 H44 H76 H166 H298 H289 H198 H127 H291 H93, H214 H149 H297 H22 H92 H267 H44 H76 H166 H298 H289 H198 H127 H291 H93, false, NA, NA, NA, NA, NA
R1, H238, NA, NA, 13, 0, H238 H86 H281 H153 H175 H138 H113 H26 H29 H244 H287 H108 H23 H119 H193, H238 H86 H281 H153 H175 H138 H113 H26 H29 H244 H287 H108 H23 H119 H193, false, NA, NA, NA, NA, NA
R2, H290, NA, NA, 42, 0, H290 H285 H188 H2 H163 H121 H111 H177 H90 H40 H68 H183 H71 H75 H23, H290 H285 H188 H2 H163 H121 H111 H177 H90 H40 H68 H183 H71 H75 H23, false, NA, NA, NA, NA, NA
R3, H246, NA, NA, 37, 1, H39 H246 H258 H294 H229 H112 H249 H264 H29 H123 H133 H244 H193 H271 H72, H39 H246 H258 H294 H229 H112 H249 H264 H29 H123 H133 H244 H193 H271 H72, false, NA, NA, NA, NA, NA
R4, H96, NA, NA, 2, 1, H284 H96 H253 H107 H111 H140 H59 H47 H190 H247 H3 H45 H92 H242 H287, H284 H96 H253 H107 H111 H140 H59 H47 H190 H247 H3 H45 H92 H242 H287, false, NA, NA, NA, NA, NA
R5, H44, NA, NA, 3, 4, H33 H224 H299 H244 H44 H74 H14 H82 H27 H266 H233 H189 H135 H222 H251, H33 H224 H299 H244 H44 H74 H14 H82 H27 H266 H233 H189 H135 H222 H251, false, NA, NA, NA, NA, NA
R6, H85, NA, NA, 41, 1, H146 H85 H280 H292 H207 H9 H10 H246 H237 H159 H123 H252 H112 H4 H283, H146 H85 H280 H292 H207 H9 H10 H246 H237 H159 H123 H252 H112 H4 H283, false, NA, NA, NA, NA, NA
R7, H265, R438, H4, 7, 0, H142 H105 H94 H265 H203 H272 H125 H157 H9 H4 H68 H190 H194 H249, H265 H203 H272 H125 H157 H9 H4 H68 H190 H194 H249, true, false, 7, 0, H249 H94 H68 H4 H125 H272 H203 H162 H242 H105 H134 H63 H269 H179 H130, H4 H269
R8, H201, NA, NA, 31, 4, H199 H18 H8 H276 H201 H155 H229 H209 H275 H247 H32 H101 H154 H285 H153, H199 H18 H8 H276 H201 H155 H229 H209 H275 H247 H32 H101 H154 H285 H153, false, NA, NA, NA, NA, NA
R9, H185, NA, NA, 8, 2, H219 H71 H185 H248 H14 H34 H182 H280 H148 H218 H193 H155 H30 H288 H56, H219 H71 H185 H248 H14 H34 H182 H280 H148 H218 H193 H155 H30 H288 H56, false, NA, NA, NA, NA, NA
R10, H263, R453, H263, 24, 0, H287 H263 H50 H101 H121 H44 H26 H132 H79 H290 H245 H222 H206 H119 H62, H263, true, false, 24, 0, H187 H3 H287 H101 H18 H204 H232 H44 H11 H50 H26 H222 H263 H121, H263
R11, H20, NA, NA, 2, 1, H175 H20 H186 H66 H155 H80 H293 H164 H196 H125 H118 H185 H5 H188 H243, H175 H20 H186 H66 H155 H80 H293 H164 H196 H125 H118 H185 H5 H188 H243, false, NA, NA, NA, NA, NA
R12, H13, NA, NA, 18, 0, H13 H23 H176 H237 H119 H194 H249 H35 H175 H27 H112 H28 H31 H48 H57, H13 H23 H176 H237 H119 H194 H249 H35 H175 H27 H112 H28 H31 H48 H57, false, NA, NA, NA, NA, NA
R13, H108, NA, NA, 48, 3, H34 H68 H296 H108 H16 H233 H283 H211 H82 H10 H100 H216 H250 H274 H112, H34 H68 H296 H108 H16 H233 H283 H211 H82 H10 H100 H216 H250 H274 H112, false, NA, NA, NA, NA, NA
R14, H130, NA, NA, 2, 0, H130 H231 H286 H121 H147 H115 H83 H2 H187 H111 H82 H27 H47 H148 H217, H130 H231 H286 H121 H147 H115 H83 H2 H187 H111 H82 H27 H47 H148 H217, false, NA, NA, NA, NA, NA
R15, H17, NA, NA, 36, 1, H204 H17 H268 H40 H254 H226 H231 H42 H202 H98 H137 H230 H157 H242 H227, H204 H17 H268 H40 H254 H226 H231 H42 H202 H98 H137 H230 H157 H242 H227, false, NA, NA, NA, NA, NA
R16, H224, R232, H224, 6, 0, H124 H224 H277 H228 H175 H18 H67 H231 H294 H244 H270 H292 H282 H210 H266, H224 H277 H228 H175 H18 H67 H231 H294 H244 H270 H292 H282 H210 H266, true, false, 6, 0, H148 H228 H18 H145 H277 H124 H7 H106 H175 H22 H224 H67 H160, H224
R17, H206, R224, H206, 46, 0, H58 H237 H98 H252 H291 H62 H124 H99 H223 H220 H206 H249 H110, H206, true, false, 46, 0, H223 H206 H249 H99 H98 H220 H62 H37 H241 H56 H112 H215 H247 H192 H114, H206
R18, H181, NA, NA, 23, 0, H181 H222 H87 H4 H264 H157 H295 H184 H110 H256 H230 H227 H69 H282 H120, H181 H222 H87 H4 H264 H157 H295 H184 H110 H256 H230 H227 H69 H282 H120, false, NA, NA, NA, NA, NA
R19, H94, NA, NA, 3, 1, H274 H94 H216 H81 H158 H228 H281 H215 H212 H71 H8 H72 H58 H261 H244, H274 H94 H216 H81 H158 H228 H281 H215 H212 H71 H8 H72 H58 H261 H244, false, NA, NA, NA, NA, NA
R20, H165, NA, NA, 41, 2, H288 H138 H165 H111 H192 H66 H125 H60 H42 H132 H84 H294 H290 H80 H30, H288 H138 H165 H111 H192 H66 H125 H60 H42 H132 H84 H294 H290 H80 H30, false, NA, NA, NA, NA, NA
R21, H49, R201, H49, 10, 0, H200 H49 H3 H227 H118 H279 H110 H24 H87 H215 H256 H123 H208 H179 H126, H49 H3 H227 H118 H279 H110 H24 H87 H215 H256 H123 H208 H179 H126, true, false, 10, 0, H138 H43 H227 H118 H200 H279 H3 H269 H168 H110 H18 H140 H101 H49, H49
R22, H148, R72, H148, 7, 0, H235 H229 H220 H148 H5 H92 H285 H158 H139 H22 H57 H264 H123 H35 H132, H148 H5 H92 H285 H158 H139 H22 H57 H264 H123 H35 H132, true, false, 7, 0, H92 H166 H229 H285 H148 H24 H191 H238 H83 H235 H183 H296 H220 H5, H148
R23, NO_MATCH, R257, NO_MATCH, -1, 2147483647, H140 H69 H186 H95 H207 H293 H112 H164 H287 H282 H56 H114 H210 H16, , true, false, -1, 2147483647, H207 H95 H114 H293 H140 H56 H69 H117 H190 H107 H55 H8 H286 H161 H93, 
R24, H36, NA, NA, 34, 0, H36 H235 H225 H60 H232 H11 H223 H35 H249 H113 H88 H56 H13 H241 H269, H36 H235 H225 H60 H232 H11 H223 H35 H249 H113 H88 H56 H13 H241 H269, false, NA, NA, NA, NA, NA
R25, H62, NA, NA, 33, 0, H62 H101 H259 H269 H148 H141 H236 H120 H103 H52 H140 H245 H41 H182 H154, H62 H101 H259 H269 H148 H141 H236 H120 H103 H52 H140 H245 H41 H182 H154, false, NA, NA, NA, NA, NA
R26, H19, NA, NA, 24, 1, H258 H19 H228 H236 H76 H36 H45 H200 H111 H124 H214 H69 H62 H22 H156, H258 H19 H228 H236 H76 H36 H45 H200 H111 H124 H214 H69 H62 H22 H156, false, NA, NA, NA, NA, NA
R27, H243, R237, H243, 46, 0, H174 H116 H158 H159 H243 H97 H169 H216 H12 H76 H278 H218 H180 H72 H98, H243 H97 H169 H216 H12 H76 H278 H218 H180 H72 H98, true, false, 46, 0, H137 H56 H71 H159 H243 H22 H97 H169 H174 H231 H178 H158 H77 H116, H243
