residentId, residentAssignment, partnerId, partnerAssignment, residentAssignmentLocation, residentAssignmentRank, residentInitialPreferences, residentFinalPreferences, hasPartner, isAnchorPartner, partnerAssignmentLocation, partnerAssignmentRank, partnerInitialPreferences, partnerFinalPreferences
R0, H12, R63, H29, 9, 7, H47 H30 H28 H44 H34 H48 H23 H12 H19 H38 H29 H21 H35, H47 H30 H28 H44 H34 H48 H23 H12 H19 H38 H29 H21 H35, true, false, 8, 7, H48 H19 H44 H28 H47 H21 H38 H29 H32 H36 H6 H40 H11 H25 H14, H48 H19 H44 H28 H47 H21 H38 H29 H32 H36 H6 H40 H11 H25 H14
R1, NO_MATCH, R9, NO_MATCH, -1, 2147483647, H28 H20 H7 H21 H45 H2 H10 H3 H15 H13 H33 H34 H41 H16 H43, H28 H20 H7 H21 H45 H2 H10 H3 H15 H13 H33 H34 H41 H16 H43, true, false, -1, 2147483647, H28 H34 H26 H30 H45 H20 H5 H21 H7 H2 H27 H4 H10, H28 H34 H26 H30 H45 H20 H5 H21 H7 H2 H27 H4 H10
R2, NO_MATCH, R6, NO_MATCH, -1, 2147483647, H15 H18 H7 H0 H46 H24 H5 H32 H25 H23 H39 H44 H41 H38, H15 H18 H7 H0 H46 H24 H5 H32 H25 H23 H39 H44 H41 H38, true, false, -1, 2147483647, H38 H0 H44 H41 H25 H18 H5 H36 H39 H19 H12 H27 H1 H10 H2, H38 H0 H44 H41 H25 H18 H5 H36 H39 H19 H12 H27 H1 H10 H2
R3, H26, R20, H31, 6, 7, H4 H23 H12 H29 H24 H6 H8 H26 H37 H44 H25 H31 H9 H27, H4 H23 H12 H29 H24 H6 H8 H26 H37 H44 H25 H31 H9 H27, true, false, 8, 7, H23 H4 H12 H9 H8 H25 H27 H31 H42 H10 H0 H6 H48 H34 H24, H23 H4 H12 H9 H8 H25 H27 H31 H42 H10 H0 H6 H48 H34 H24
R4, H5, R61, H39, 1, 10, H33 H40 H2 H3 H16 H1 H36 H11 H6 H12 H5 H9 H25 H32 H22, H33 H40 H2 H3 H16 H1 H36 H11 H6 H12 H5 H9 H25 H32 H22, true, false, 9, 10, H16 H36 H3 H12 H7 H33 H47 H40 H2 H1 H39 H21, H16 H36 H3 H12 H7 H33 H47 H40 H2 H1 H39 H21
R5, NO_MATCH, R90, NO_MATCH, -1, 2147483647, H22 H15 H2 H13 H32 H17 H18 H43 H5 H39 H10 H38 H12 H7, H22 H15 H2 H13 H32 H17 H18 H43 H5 H39 H10 H38 H12 H7, true, false, -1, 2147483647, H15 H7 H5 H38 H39 H22 H13 H0 H20 H30 H45 H27 H26 H16 H17, H15 H7 H5 H38 H39 H22 H13 H0 H20 H30 H45 H27 H26 H16 H17
R6, NO_MATCH, R2, NO_MATCH, -1, 2147483647, H38 H0 H44 H41 H25 H18 H5 H36 H39 H19 H12 H27 H1 H10 H2, H38 H0 H44 H41 H25 H18 H5 H36 H39 H19 H12 H27 H1 H10 H2, true, false, -1, 2147483647, H15 H18 H7 H0 H46 H24 H5 H32 H25 H23 H39 H44 H41 H38, H15 H18 H7 H0 H46 H24 H5 H32 H25 H23 H39 H44 H41 H38
R7, NO_MATCH, R78, NO_MATCH, -1, 2147483647, H6 H38 H10 H47 H19 H0 H16 H29 H12 H39 H13 H20 H32 H15 H40, H6 H38 H10 H47 H19 H0 H16 H29 H12 H39 H13 H20 H32 H15 H40, true, false, -1, 2147483647, H22 H42 H0 H6 H16 H47 H19 H20 H5 H37 H38 H10, H22 H42 H0 H6 H16 H47 H19 H20 H5 H37 H38 H10
R8, NO_MATCH, R71, NO_MATCH, -1, 2147483647, H31 H22 H9 H49 H36 H33 H13 H40 H21 H12 H1 H17 H10 H32 H43, H31 H22 H9 H49 H36 H33 H13 H40 H21 H12 H1 H17 H10 H32 H43, true, false, -1, 2147483647, H33 H5 H3 H39 H41 H9 H13 H1 H49 H36 H31 H22, H33 H5 H3 H39 H41 H9 H13 H1 H49 H36 H31 H22
R9, NO_MATCH, R1, NO_MATCH, -1, 2147483647, H28 H34 H26 H30 H45 H20 H5 H21 H7 H2 H27 H4 H10, H28 H34 H26 H30 H45 H20 H5 H21 H7 H2 H27 H4 H10, true, false, -1, 2147483647, H28 H20 H7 H21 H45 H2 H10 H3 H15 H13 H33 H34 H41 H16 H43, H28 H20 H7 H21 H45 H2 H10 H3 H15 H13 H33 H34 H41 H16 H43
R10, H26, R16, H35, 6, 2, H43 H12 H26 H41 H17 H38 H14 H0 H6 H35 H29 H45, H43 H12 H26 H41 H17 H38 H14 H0 H6 H35 H29 H45, true, false, 3, 2, H29 H17 H35 H14 H0 H41 H6 H27 H46 H43 H48 H19 H39 H34 H18, H29 H17 H35 H14 H0 H41 H6 H27 H46 H43 H48 H19 H39 H34 H18
R11, H48, R30, H39, 5, 0, H48 H46 H8 H25 H10 H21 H1 H43 H40 H5 H39 H34 H44 H12, H48 H46 H8 H25 H10 H21 H1 H43 H40 H5 H39 H34 H44 H12, true, false, 9, 0, H39 H46 H43 H25 H44 H40 H8 H20 H41 H3 H36 H24 H7 H22 H0, H39 H46 H43 H25 H44 H40 H8 H20 H41 H3 H36 H24 H7 H22 H0
R12, H33, R50, H23, 0, 7, H35 H32 H1 H11 H21 H12 H40 H33 H36 H37 H5 H27 H17, H35 H32 H1 H11 H21 H12 H40 H33 H36 H37 H5 H27 H17, true, false, 6, 7, H5 H21 H12 H27 H32 H11 H35 H23 H17 H7 H16 H19 H13 H38 H15, H5 H21 H12 H27 H32 H11 H35 H23 H17 H7 H16 H19 H13 H38 H15
